"id","name","short_name","tla","crest_url"
778,"Algeria","Algeria","ALG","https://crests.football-data.org/algeria.svg"
762,"Argentina","Argentina","ARG","https://crests.football-data.org/762.png"
779,"Australia","Australia","AUS","https://crests.football-data.org/779.svg"
816,"Austria","Austria","AUT","https://crests.football-data.org/816.svg"
805,"Belgium","Belgium","BEL","https://crests.football-data.org/805.svg"
1060,"Bosnia-Herzegovina","Bosnia-H.","BIH","https://crests.football-data.org/bosnia.svg"
764,"Brazil","Brazil","BRA","https://crests.football-data.org/764.svg"
828,"Canada","Canada","CAN","https://crests.football-data.org/canada.svg"
1930,"Cape Verde Islands","Cape Verde","CPV","https://crests.football-data.org/cape_verde.svg"
818,"Colombia","Colombia","COL","https://crests.football-data.org/818.svg"
1934,"Congo DR","Congo DR","COD","https://crests.football-data.org/congo_dr.svg"
799,"Croatia","Croatia","CRO","https://crests.football-data.org/799.svg"
9460,"Curaçao","Curaçao","CUW","https://crests.football-data.org/curacao.svg"
798,"Czechia","Czechia","CZE","https://crests.football-data.org/798.svg"
791,"Ecuador","Ecuador","ECU","https://crests.football-data.org/791.svg"
825,"Egypt","Egypt","EGY","https://crests.football-data.org/825.svg"
770,"England","England","ENG","https://crests.football-data.org/770.svg"
773,"France","France","FRA","https://crests.football-data.org/773.svg"
759,"Germany","Germany","GER","https://crests.football-data.org/759.svg"
763,"Ghana","Ghana","GHA","https://crests.football-data.org/ghana.svg"
836,"Haiti","Haiti","HAI","https://crests.football-data.org/haiti.svg"
840,"Iran","Iran","IRN","https://crests.football-data.org/iran.svg"
8062,"Iraq","Iraq","IRQ","https://crests.football-data.org/iraq.svg"
1935,"Ivory Coast","Ivory Coast","CIV","https://crests.football-data.org/787.svg"
766,"Japan","Japan","JPN","https://crests.football-data.org/766.svg"
8049,"Jordan","Jordan","JOR","https://crests.football-data.org/8049.png"
769,"Mexico","Mexico","MEX","https://crests.football-data.org/769.svg"
815,"Morocco","Morocco","MAR","https://crests.football-data.org/morocco.svg"
8601,"Netherlands","Netherlands","NED","https://crests.football-data.org/8601.svg"
783,"New Zealand","New Zealand","NZL","https://crests.football-data.org/783.svg"
8872,"Norway","Norway","NOR","https://crests.football-data.org/813.svg"
1836,"Panama","Panama","PAN","https://crests.football-data.org/panama.svg"
761,"Paraguay","Paraguay","PAR","https://crests.football-data.org/761.svg"
765,"Portugal","Portugal","POR","https://crests.football-data.org/765.svg"
8030,"Qatar","Qatar","QAT","https://crests.football-data.org/8030.svg"
801,"Saudi Arabia","Saudi Arabia","KSA","https://crests.football-data.org/saudi_arabia.svg"
8873,"Scotland","Scotland","SCO","https://crests.football-data.org/814.svg"
804,"Senegal","Senegal","SEN","https://crests.football-data.org/senegal.svg"
774,"South Africa","South Africa","RSA","https://crests.football-data.org/9396.svg"
772,"South Korea","Korea Republic","KOR","https://crests.football-data.org/772.png"
760,"Spain","Spain","ESP","https://crests.football-data.org/760.svg"
792,"Sweden","Sweden","SWE","https://crests.football-data.org/792.svg"
788,"Switzerland","Switzerland","SUI","https://crests.football-data.org/788.svg"
802,"Tunisia","Tunisia","TUN","https://crests.football-data.org/tunisia.svg"
803,"Turkey","Turkey","TUR","https://crests.football-data.org/803.svg"
771,"United States","USA","USA","https://crests.football-data.org/usa.svg"
758,"Uruguay","Uruguay","URU","https://crests.football-data.org/758.svg"
8070,"Uzbekistan","Uzbekistan","UZB","https://crests.football-data.org/8070.png"
